cod_solicitud;tipo_ceremonia;nombres;apellidos;sede;carrera;celular;correo;profesion;estado;tipo_solicitud;documento_origen;fecha_solicitud;cedula
3539;Publica ;Pareja;Arango;Norte;Industrial;3186192564;angosturaestereo89.2@gmail.com;Asistentes administrativos y empleados de oficina.;Revisado;Solicitud de graduacion;SOLGRA;22-feb-2020;1144636779
8422;Privada;Pemberthy;Lopera;Sur;Sistemas;3189333379;personeria@angostura-antioquia.gov.co;Trabajo autónomo o freelance.;Analisis;Solicitud de graduacion;SOLGRA;29-may-2020;1144965785
7585;Publica ;Perez;Gaviria;Este;Electronica;3181405939;planeacion@angostura-antioquia.gov.co;Educadores y profesores. ...;Denegado;Solicitud de graduacion;SOLGRA;08-mar-2020;1144687461
2802;Privada;Piedrahita;Giraldo;Oeste;Administracion;3193933763;depote@angostura-antioquia.gov.co;Auditores y contables. ...;Revisado;Solicitud de graduacion;SOLGRA;14-may-2020;1144316941
5261;Publica ;Porras;Agudelo;Norte;Pedagogia;3197345844;gobierno@angostura-antioquia.gov.co;Ventas, marketing y formación. ...;Analisis;Solicitud de graduacion;SOLGRA;27-jul-2020;1144909584
9515;Privada;Porras;Arenas;Sur;Licenciatura;3134246757;alcaldia@angostura-antioquia.gov.co;Analistas. ...;Denegado;Solicitud de graduacion;SOLGRA;05-mar-2020;1144337897
82;Publica ;Posada;Hoyos;Este;Industrial;3107625213;gobierno@angostura-antioquia.gov.co;Especialistas en estimación de costes. ...;Revisado;Solicitud de graduacion;SOLGRA;06-jun-2020;1144849119
9969;Privada;Posada;Valencia;Oeste;Sistemas;3141236867;planeacion@angostura-antioquia.gov.co;Analistas financieros y banca.;Analisis;Solicitud de graduacion;SOLGRA;31-mar-2020;1144933779
1610;Publica ;Restrepo;Cárdenas;Norte;Electronica;3151762773;depote@angostura-antioquia.gov.co;Asistentes administrativos y empleados de oficina.;Denegado;Solicitud de graduacion;SOLGRA;12-mar-2020;1144956187
7602;Privada;Restrepo;Prisco;Sur;Administracion;3101235818;gobierno@angostura-antioquia.gov.co;Trabajo autónomo o freelance.;Revisado;Solicitud de graduacion;SOLGRA;13-may-2020;1144501253
5491;Publica ;Restrepo;Prisco;Este;Pedagogia;3150996264;planeacion@angostura-antioquia.gov.co;Educadores y profesores. ...;Analisis;Solicitud de graduacion;SOLGRA;06-jun-2020;1144551128
8657;Privada;Rios;Monsalve;Oeste;Licenciatura;3185164930;sisben@angostura-antioquia.gov.co;Auditores y contables. ...;Denegado;Solicitud de graduacion;SOLGRA;01-jul-2020;1144968530
9633;Publica ;Rojas;Martinez;Norte;Industrial;3126803956;discapacidad@angostura-antioquia.gov.co;Ventas, marketing y formación. ...;Revisado;Solicitud de graduacion;SOLGRA;13-mar-2020;1144427806
7835;Privada;Rojo;Atehortua;Sur;Sistemas;3130147295;justicia@angostura-antioquia.gov.co;Analistas. ...;Analisis;Solicitud de graduacion;SOLGRA;30-ene-2020;1144751505
3943;Publica ;Fernando;de Jesus;Este;Electronica;3152140423;umata@angostura-antioquia.gov.co;Especialistas en estimación de costes. ...;Denegado;Solicitud de graduacion;SOLGRA;17-jun-2020;1144628656
8495;Privada;Diego;Alejandro;Oeste;Administracion;3161383953;comisaria@angostura-antioquia.gov.co;Analistas financieros y banca.;Revisado;Solicitud de graduacion;SOLGRA;02-abr-2020;1144831316
2095;Publica ;Yasmir;Andrea;Norte;Pedagogia;3158363606;planeacion@angostura-antioquia.gov.co;Especialistas en estimación de costes. ...;Analisis;Solicitud de graduacion;SOLGRA;29-abr-2020;1144551404
