cod_solicitud;nombres;apellidos;semestre;jornada;valorsemestre;concepto;valores_adicionales;fecha_limite_pago;fecha_inicio_recargo1;valor_recargo1;fecha_inicio_recargo2;valor_recargo2;fecha_inicio_recargo3;valor_recargo3;totalApagar_sinrecargo;totalApagar_recargo1;totalApagar_recargo2;totalApagar_recargo3;tipo_solicitud;documento_origen;fecha_solicitud;estado;cedula
7649;Rubiel;Agudelo;3;Diurna;2980929;Valor_semestre;0;02-mar-2020;26-mar-2020;187629;14-abr-2020;194543;13-may-2020;125328;2980929;3168558;3363101;3488429;Solicitud de matricula financiera;SOLMAFI;22-jul-2020;Pendiente;1144677630
1634;Jhon;Alvarez;10;Nocturna;3352059;Valor_semestre;0;21-jul-2020;31-may-2020;101227;07-mar-2020;151541;03-jul-2020;170635;3352059;3453286;3604827;3775462;Solicitud de matricula financiera;SOLMAFI;24-jul-2020;Revisado;1144571534
2669;Alejandra;Arango;10;Diurna;2635852;Valor_semestre/descuentoCoomeva;-200000;09-feb-2020;20-mar-2020;103081;18-feb-2020;126537;25-may-2020;156076;2435852;2538933;2665470;2821546;Solicitud de matricula financiera;SOLMAFI;06-feb-2020;Pendiente;1144910385
3104;Jaider;Arango;7;Nocturna;3897339;Valor_semestre/descuentoCoomeva;-200000;17-mar-2020;06-abr-2020;144713;30-mar-2020;102542;29-jun-2020;150726;3697339;3842052;3944594;4095320;Solicitud de matricula financiera;SOLMAFI;12-may-2020;Revisado;1144778000
3116;Marlen;Arango;9;Diurna;3787807;Valor_semestre/descuentoCoomeva;-200000;03-feb-2020;17-jul-2020;109015;14-may-2020;145382;03-mar-2020;143053;3587807;3696822;3842204;3985257;Solicitud de matricula financiera;SOLMAFI;12-jun-2020;Pendiente;1144796943
474;Johana;Atehortua;8;Nocturna;3867624;Valor_semestre;0;12-mar-2020;11-jun-2020;193040;23-jul-2020;185300;08-jul-2020;100610;3867624;4060664;4245964;4346574;Solicitud de matricula financiera;SOLMAFI;07-feb-2020;Revisado;1144320425
5487;Nai;Atehortua;8;Nocturna;2922235;Valor_semestre/descuentoVotacion;-50000;07-jul-2020;31-mar-2020;113091;06-mar-2020;137668;29-mar-2020;114644;2872235;2985326;3122994;3237638;Solicitud de matricula financiera;SOLMAFI;04-abr-2020;Pendiente;1144461502
1568;Luz;Ayala;10;Nocturna;1382677;Valor_semestre/descuentoCoomeva;-200000;23-jun-2020;07-mar-2020;110586;08-jul-2020;194677;25-jun-2020;133572;1182677;1293263;1487940;1621512;Solicitud de matricula financiera;SOLMAFI;04-may-2020;Revisado;1144600677
442;Jhon;Barrientos;5;Nocturna;1586220;Valor_semestre/descuentoCoomeva;-200000;24-jun-2020;05-feb-2020;163567;18-abr-2020;124855;02-jun-2020;159757;1386220;1549787;1674642;1834399;Solicitud de matricula financiera;SOLMAFI;14-mar-2020;Pendiente;1144217437
7436;Mauro;Betancur;7;Nocturna;3666779;Valor_semestre/descuentoCoomeva;-200000;05-may-2020;09-feb-2020;147869;29-abr-2020;116250;08-jun-2020;163845;3466779;3614648;3730898;3894743;Solicitud de matricula financiera;SOLMAFI;13-jun-2020;Revisado;1144339117
5433;Luis;Bustamante;6;Diurna;1763474;Valor_semestre;0;14-abr-2020;17-jul-2020;196534;31-ene-2020;172225;04-mar-2020;192202;1763474;1960008;2132233;2324435;Solicitud de matricula financiera;SOLMAFI;03-may-2020;Pendiente;1144225751
480;Yulieth;Cardenas;5;Nocturna;3402208;Valor_semestre;0;12-may-2020;09-abr-2020;133631;01-abr-2020;122260;04-feb-2020;125310;3402208;3535839;3658099;3783409;Solicitud de matricula financiera;SOLMAFI;10-may-2020;Revisado;1144651976
967;Daniel;Cardona;7;Nocturna;2983773;Valor_semestre/descuentoVotacion;-50000;17-abr-2020;16-may-2020;177596;15-jun-2020;114250;30-may-2020;179429;2933773;3111369;3225619;3405048;Solicitud de matricula financiera;SOLMAFI;17-may-2020;Pendiente;1144418320
832;Jeisson;Bustamante;10;Nocturna;1103472;Valor_semestre/descuentoVotacion;-50000;23-mar-2020;10-may-2020;153604;19-feb-2020;199855;15-feb-2020;157153;1053472;1207076;1406931;1564084;Solicitud de matricula financiera;SOLMAFI;21-jun-2020;Revisado;1144591872
5459;Carlos;Gaviria;9;Nocturna;1950765;Valor_semestre/descuentoCoomeva;-200000;20-jun-2020;26-jul-2020;146059;23-abr-2020;171188;13-jul-2020;153933;1750765;1896824;2068012;2221945;Solicitud de matricula financiera;SOLMAFI;05-jun-2020;Pendiente;1144606695
4915;Hernado;Echeverry;6;Diurna;3940526;Valor_semestre/descuentoCoomeva;-200000;21-may-2020;27-jul-2020;137882;04-may-2020;113343;28-feb-2020;158776;3740526;3878408;3991751;4150527;Solicitud de matricula financiera;SOLMAFI;10-feb-2020;Revisado;1144265030
287;Jose;Fernandez;1;Diurna;3841481;Valor_semestre/descuentoCoomeva;-200000;03-may-2020;15-may-2020;162279;21-abr-2020;123869;29-jun-2020;150015;3641481;3803760;3927629;4077644;Solicitud de matricula financiera;SOLMAFI;13-may-2020;Pendiente;1144275619
